"","sigma2_ksi_true","sigma2_theta_true","covars","n_views","r","features_per_view","scenario_id","train_seed"
"328",0,0.75,FALSE,4,6,150,4,37
"329",0.75,0.75,FALSE,4,6,150,5,37
"330",1.5,0.75,FALSE,4,6,150,6,37
"331",0,1.5,FALSE,4,6,150,7,37
"332",0.75,1.5,FALSE,4,6,150,8,37
"333",1.5,1.5,FALSE,4,6,150,9,37
"334",0,0,FALSE,4,6,150,1,38
"335",0.75,0,FALSE,4,6,150,2,38
"336",1.5,0,FALSE,4,6,150,3,38
"337",0,0.75,FALSE,4,6,150,4,38
"338",0.75,0.75,FALSE,4,6,150,5,38
"339",1.5,0.75,FALSE,4,6,150,6,38
"340",0,1.5,FALSE,4,6,150,7,38
"341",0.75,1.5,FALSE,4,6,150,8,38
"342",1.5,1.5,FALSE,4,6,150,9,38
"343",0,0,FALSE,4,6,150,1,39
"344",0.75,0,FALSE,4,6,150,2,39
"345",1.5,0,FALSE,4,6,150,3,39
"346",0,0.75,FALSE,4,6,150,4,39
"347",0.75,0.75,FALSE,4,6,150,5,39
"348",1.5,0.75,FALSE,4,6,150,6,39
"349",0,1.5,FALSE,4,6,150,7,39
"350",0.75,1.5,FALSE,4,6,150,8,39
"351",1.5,1.5,FALSE,4,6,150,9,39
"352",0,0,FALSE,4,6,150,1,40
"353",0.75,0,FALSE,4,6,150,2,40
"354",1.5,0,FALSE,4,6,150,3,40
"355",0,0.75,FALSE,4,6,150,4,40
"356",0.75,0.75,FALSE,4,6,150,5,40
"357",1.5,0.75,FALSE,4,6,150,6,40
"358",0,1.5,FALSE,4,6,150,7,40
"359",0.75,1.5,FALSE,4,6,150,8,40
"360",1.5,1.5,FALSE,4,6,150,9,40
"361",0,0,FALSE,4,6,150,1,41
"362",0.75,0,FALSE,4,6,150,2,41
"363",1.5,0,FALSE,4,6,150,3,41
"364",0,0.75,FALSE,4,6,150,4,41
"365",0.75,0.75,FALSE,4,6,150,5,41
"366",1.5,0.75,FALSE,4,6,150,6,41
"367",0,1.5,FALSE,4,6,150,7,41
"368",0.75,1.5,FALSE,4,6,150,8,41
"369",1.5,1.5,FALSE,4,6,150,9,41
"370",0,0,FALSE,4,6,150,1,42
"371",0.75,0,FALSE,4,6,150,2,42
"372",1.5,0,FALSE,4,6,150,3,42
"373",0,0.75,FALSE,4,6,150,4,42
"374",0.75,0.75,FALSE,4,6,150,5,42
"375",1.5,0.75,FALSE,4,6,150,6,42
"376",0,1.5,FALSE,4,6,150,7,42
"377",0.75,1.5,FALSE,4,6,150,8,42
"378",1.5,1.5,FALSE,4,6,150,9,42
"379",0,0,FALSE,4,6,150,1,43
"380",0.75,0,FALSE,4,6,150,2,43
"381",1.5,0,FALSE,4,6,150,3,43
"382",0,0.75,FALSE,4,6,150,4,43
"383",0.75,0.75,FALSE,4,6,150,5,43
"384",1.5,0.75,FALSE,4,6,150,6,43
"385",0,1.5,FALSE,4,6,150,7,43
"386",0.75,1.5,FALSE,4,6,150,8,43
"387",1.5,1.5,FALSE,4,6,150,9,43
"388",0,0,FALSE,4,6,150,1,44
"389",0.75,0,FALSE,4,6,150,2,44
"390",1.5,0,FALSE,4,6,150,3,44
"391",0,0.75,FALSE,4,6,150,4,44
"392",0.75,0.75,FALSE,4,6,150,5,44
"393",1.5,0.75,FALSE,4,6,150,6,44
"394",0,1.5,FALSE,4,6,150,7,44
"395",0.75,1.5,FALSE,4,6,150,8,44
"396",1.5,1.5,FALSE,4,6,150,9,44
"397",0,0,FALSE,4,6,150,1,45
"398",0.75,0,FALSE,4,6,150,2,45
"399",1.5,0,FALSE,4,6,150,3,45
"400",0,0.75,FALSE,4,6,150,4,45
"401",0.75,0.75,FALSE,4,6,150,5,45
"402",1.5,0.75,FALSE,4,6,150,6,45
"403",0,1.5,FALSE,4,6,150,7,45
"404",0.75,1.5,FALSE,4,6,150,8,45
"405",1.5,1.5,FALSE,4,6,150,9,45
"406",0,0,FALSE,4,6,150,1,46
"407",0.75,0,FALSE,4,6,150,2,46
"408",1.5,0,FALSE,4,6,150,3,46
"409",0,0.75,FALSE,4,6,150,4,46
"410",0.75,0.75,FALSE,4,6,150,5,46
"411",1.5,0.75,FALSE,4,6,150,6,46
"412",0,1.5,FALSE,4,6,150,7,46
"413",0.75,1.5,FALSE,4,6,150,8,46
"414",1.5,1.5,FALSE,4,6,150,9,46
"415",0,0,FALSE,4,6,150,1,47
"416",0.75,0,FALSE,4,6,150,2,47
"417",1.5,0,FALSE,4,6,150,3,47
"418",0,0.75,FALSE,4,6,150,4,47
"419",0.75,0.75,FALSE,4,6,150,5,47
"420",1.5,0.75,FALSE,4,6,150,6,47
"421",0,1.5,FALSE,4,6,150,7,47
"422",0.75,1.5,FALSE,4,6,150,8,47
"423",1.5,1.5,FALSE,4,6,150,9,47
"424",0,0,FALSE,4,6,150,1,48
"425",0.75,0,FALSE,4,6,150,2,48
"426",1.5,0,FALSE,4,6,150,3,48
"427",0,0.75,FALSE,4,6,150,4,48
"428",0.75,0.75,FALSE,4,6,150,5,48
"429",1.5,0.75,FALSE,4,6,150,6,48
"430",0,1.5,FALSE,4,6,150,7,48
"431",0.75,1.5,FALSE,4,6,150,8,48
"432",1.5,1.5,FALSE,4,6,150,9,48
"433",0,0,FALSE,4,6,150,1,49
"434",0.75,0,FALSE,4,6,150,2,49
"435",1.5,0,FALSE,4,6,150,3,49
"436",0,0.75,FALSE,4,6,150,4,49
"437",0.75,0.75,FALSE,4,6,150,5,49
"438",1.5,0.75,FALSE,4,6,150,6,49
"439",0,1.5,FALSE,4,6,150,7,49
"440",0.75,1.5,FALSE,4,6,150,8,49
"441",1.5,1.5,FALSE,4,6,150,9,49
"442",0,0,FALSE,4,6,150,1,50
"443",0.75,0,FALSE,4,6,150,2,50
"444",1.5,0,FALSE,4,6,150,3,50
"445",0,0.75,FALSE,4,6,150,4,50
"446",0.75,0.75,FALSE,4,6,150,5,50
"447",1.5,0.75,FALSE,4,6,150,6,50
"448",0,1.5,FALSE,4,6,150,7,50
"449",0.75,1.5,FALSE,4,6,150,8,50
"450",1.5,1.5,FALSE,4,6,150,9,50
"451",0,0,FALSE,4,6,150,1,51
"452",0.75,0,FALSE,4,6,150,2,51
"453",1.5,0,FALSE,4,6,150,3,51
"454",0,0.75,FALSE,4,6,150,4,51
"455",0.75,0.75,FALSE,4,6,150,5,51
"456",1.5,0.75,FALSE,4,6,150,6,51
"457",0,1.5,FALSE,4,6,150,7,51
"458",0.75,1.5,FALSE,4,6,150,8,51
"459",1.5,1.5,FALSE,4,6,150,9,51
"460",0,0,FALSE,4,6,150,1,52
"461",0.75,0,FALSE,4,6,150,2,52
"462",1.5,0,FALSE,4,6,150,3,52
